,geometry,type
0,"LINESTRING Z (140248.2638934682 393000 99, 140275.435199998 393062.397599999 99, 140316.294500001 393154.874299999 99, 140342.512499999 393214.639899999 99, 140342.670400001 393216.418200001 99, 140333.2227 393219.416299999 99, 140324.620700002 393222.236900002 99, 140313.096999999 393225.987100001 99, 140313.085999999 393225.991999999 99)",primary
1,"LINESTRING Z (140034.773699999 393053.626499999 99, 140008.798 393095.008000001 99, 139979.511999998 393141.831 99, 139973.864500001 393150.348400001 99, 139971.7841 393153.500799999 99, 139971.193 393154.837000001 99)",secondary
2,"LINESTRING Z (139971.193 393154.837000001 99, 139972.094999999 393155.728 99, 139977.019200001 393161.700399999 99, 139987.521899998 393174.8814 99)",primary
3,"LINESTRING Z (140417.693999998 393241.623 99, 140418.789000001 393213.677000001 99, 140418.105 393203.677000001 99, 140412.351 393201.074000001 99, 140407.419 393202.170000002 99, 140382.624000002 393211.348000001 99, 140365.09 393218.881999999 99, 140355.226 393222.033 99, 140345.363000002 393225.184 99, 140321.0845 393232.7115 99, 140313.850299999 393235.721299998 99, 140313.055 393236.274999999 99)",secondary
4,"LINESTRING Z (139990.815200001 393172.8094 99, 139990.6545 393172.929099999 99, 139988.721999999 393174.242199998 99, 139987.521899998 393174.8814 99)",secondary
5,"LINESTRING Z (140313.085999999 393225.991999999 99, 140313.1578 393226.3321 99, 140313.201499999 393235.670899998 99, 140313.055300001 393236.274900001 99)",primary
6,"LINESTRING Z (140288.923 393236.280000001 99, 140301.313499998 393230.917300001 99, 140307.857000001 393228.1087 99, 140312.762200002 393226.244800001 99, 140313.085999999 393225.991999999 99)",secondary
7,"LINESTRING Z (140062.956 393420.105 99, 140038.329999998 393388.405000001 99, 140022.741999999 393368.625 99, 140021.824999999 393368.625 99, 140017.239999998 393372.293000001 99, 140015.537 393372.293000001 99, 139975.061000001 393321.861000001 99, 139960.914000001 393304.831999999 99, 139958.425000001 393301.949999999 99, 139946.243000001 393287.541000001 99, 139942.182 393283.219000001 99, 139935.107999999 393277.585999999 99, 139913.364 393259.640000001 99, 139908.124000002 393255.840999998 99, 139907.862 393253.482999999 99, 139913.232999999 393245.493000001 99, 139941.134 393201.741999999 99, 139956.590999998 393177.508000001 99, 139966.546 393161.265000001 99, 139968.331599999 393158.7775 99, 139970.375399999 393155.708500002 99, 139971.193 393154.837000001 99)",secondary
8,"LINESTRING Z (139987.521899998 393174.8814 99, 140034.6657 393234.047800001 99, 140091.780000001 393305.390999999 99, 140094.973000001 393309.967999999 99, 140097.024700001 393312.549199998 99, 140149.602000002 393378.147999998 99, 140154.559 393384.862399999 99, 140167.522 393400.642000001 99, 140195.730999999 393436.289999999 99, 140195.8378 393436.806400001 99, 140203.280400001 393440.604699999 99, 140203.302999999 393440.960999999 99)",primary
9,"LINESTRING Z (140313.055300001 393236.274900001 99, 140313.056000002 393236.476 99, 140313.057700001 393342.398400001 99, 140313.159000002 393370.576000001 99, 140313.184599999 393371.4844 99, 140313.158500001 393388.725699998 99, 140313.138 393389.752 99, 140313.2674 393426.322000001 99, 140313.364599999 393480.583000001 99)",primary
10,"LINESTRING Z (140208.749000002 393401.039000001 99, 140199.276000001 393429.844999999 99, 140196.759 393434.942000002 99, 140195.730999999 393436.289999999 99)",secondary
11,"LINESTRING Z (140214.669 393409.649999999 99, 140210.094000001 393422.298999999 99, 140209.017999999 393426.603999998 99, 140205.515799999 393436.484499998 99, 140204.0669 393439.897300001 99, 140203.302999999 393440.960999999 99)",secondary
12,"LINESTRING Z (140203.302999999 393440.960999999 99, 140205.960999999 393441.662 99, 140206.477699999 393441.9124 99, 140212.3255 393444.189599998 99, 140212.877 393444.392999999 99, 140216.3675 393445.729400001 99, 140296.239999998 393476.278999999 99, 140308.156 393480.289999999 99, 140313.364599999 393480.583000001 99)",primary
13,"LINESTRING Z (140136.627999999 393526.712000001 99, 140144.701000001 393515.41 99, 140161.386 393490.651999999 99, 140170.805 393475.581999999 99, 140185.605 393454.859999999 99, 140191.0913 393446.287300002 99, 140195.592 393437.254500002 99, 140195.8378 393436.806400001 99)",secondary
14,"LINESTRING Z (140102.451000001 393564.656 99, 140134.206 393541.243999999 99, 140138.780999999 393536.938000001 99, 140154.120000001 393517.293000001 99, 140161.923999999 393505.453000002 99, 140183.453000002 393473.429000001 99, 140190.988000002 393460.780999999 99, 140200.904100001 393445.054099999 99, 140202.6941 393441.763300002 99, 140203.302999999 393440.960999999 99)",secondary
15,"LINESTRING Z (140313.364599999 393480.583000001 99, 140313.457800001 393508.9168 99, 140313.490699999 393594.394699998 99, 140313.42264932147 393600 99)",primary
