,geometry,line_id
0,"LINESTRING (140258.605 393046.526000001, 140276.320999999 393039.037)",0
1,"LINESTRING (140269.848200001 393065.001499999, 140281.513799999 393059.564599998)",1
2,"LINESTRING (140269.300999999 393067.519000001, 140274.785399999 393065.1789)",2
3,"LINESTRING (140297.544 393137.182, 140314.335000001 393129.506999999)",3
4,"LINESTRING (140309.962200001 393157.749000002, 140322.340500001 393152.129500002)",4
5,"LINESTRING (139965.783 393165.548, 139979.182 393145.252999999)",5
6,"LINESTRING (140309.719999999 393158.515999999, 140315.209199999 393156.215599999)",6
7,"LINESTRING (139971.581 393162.131000001, 139972.259599999 393161.369600002)",7
8,"LINESTRING (139971.460499998 393165.747299999, 139983.532699998 393156.958299998)",8
9,"LINESTRING (140331.522 393211.059, 140335.370999999 393223.112)",9
10,"LINESTRING (140322.135899998 393215.3268, 140327.049899999 393228.992199998)",10
11,"LINESTRING (140320.046 393216.201000001, 140321.820500001 393221.702399999)",11
12,"LINESTRING (140024.504999999 393240.816, 140042.307999998 393225.980999999)",12
13,"LINESTRING (140028.535100002 393238.764600001, 140037.391800001 393231.950300001)",13
14,"LINESTRING (140032.616999999 393238.192000002, 140033.260299999 393237.6774)",14
15,"LINESTRING (140303.524 393302.662999999, 140320.692000002 393302.984999999)",15
16,"LINESTRING (140091.625 393312.785, 140092.287700001 393312.227400001)",16
17,"LINESTRING (140090.846700002 393317.065099999, 140103.908500001 393307.517499998)",17
18,"LINESTRING (140087.43 393319.477000002, 140103.640000001 393305.421)",18
19,"LINESTRING (140304.467999998 393331.368000001, 140310.462299999 393331.267000001)",19
20,"LINESTRING (140305.993999999 393342.1875, 140320.190200001 393342.611299999)",20
21,"LINESTRING (140150.346999999 393387.217, 140152.3145 393385.624499999)",21
22,"LINESTRING (140147.3301 393389.952199999, 140160.845699999 393380.436099999)",22
23,"LINESTRING (140150.495999999 393397.188999999, 140166.125 393384.502)",23
24,"LINESTRING (140301.717999998 393402.738000002, 140324.749000002 393403.010000002)",24
25,"LINESTRING (140304.787 393420.401999999, 140310.358100001 393420.5647)",25
26,"LINESTRING (140304.856899999 393426.191500001, 140321.3433 393426.447299998)",26
27,"LINESTRING (140213.827 393449.063000001, 140214.519299999 393447.3292)",27
28,"LINESTRING (140212.843800001 393453.9921, 140218.9936 393439.571400002)",28
29,"LINESTRING (140227.434999999 393461.969999999, 140235.155999999 393442.241)",29
30,"LINESTRING (140293.619600002 393482.844900001, 140299.335099999 393468.523600001)",30
31,"LINESTRING (140301.221000001 393482.127, 140301.6072 393480.537000001)",31
32,"LINESTRING (140302.385000002 393489.783, 140308.344000001 393469.203000002)",32
33,"LINESTRING (140301.522 393506.197000001, 140325.386999998 393505.931000002)",33
34,"LINESTRING (140305.031399999 393508.694600001, 140320.487199999 393509.102200002)",34
35,"LINESTRING (140304.710999999 393510.166000001, 140311.720600002 393510.2929)",35
36,"LINESTRING (140305.844700001 393593.798900001, 140321.200599998 393594.9954)",36
37,"LINESTRING (140305.943 393596.884, 140311.3596 393597.0233)",37
38,"LINESTRING (140301.032000002 393598.237, 140324.136 393598.592)",38
